datetime,humidity,temperature,PC0_1,PC0_3,PC0_5,PC10,PC1_0,PC2_5,PC5_0,PM0_1,PM0_3,PM0_5,PM10,PM1_0,PM2_5,PM5_0
05-04-2026-00-05-21,62.3,30.0,1515907.0,606363.0,327054.0,0.0,37354.0,1984.0,19.0,1.387215,16.36906,53.7784,95.82061,87.96185,95.13467,95.72455
05-04-2026-00-05-22,62.3,30.0,1517428.0,606971.0,331665.0,0.0,38528.0,2178.0,23.0,1.388607,16.38548,54.32225,98.30018,89.57964,97.45372,98.19545
05-04-2026-00-05-23,62.3,30.0,1516102.0,606440.0,336355.0,0.0,39716.0,2360.0,25.0,1.387393,16.37116,54.84441,100.6096,91.18896,99.7204,100.496
05-04-2026-00-05-24,62.3,30.0,1514930.0,605972.0,340925.0,0.0,40874.0,2529.0,23.0,1.386321,16.35851,55.35445,102.7594,92.75922,101.8986,102.6371
05-04-2026-00-05-25,62.3,30.0,1508236.0,603294.0,343943.0,0.0,41683.0,2666.0,22.0,1.380196,16.28623,55.62737,104.2357,93.77258,103.4089,104.1048
05-04-2026-00-05-26,62.3,30.0,1500648.0,600259.0,346595.0,0.0,42517.0,2809.0,22.0,1.373251,16.20428,55.84879,105.734,94.75671,104.9081,105.5941
05-04-2026-00-05-27,62.3,30.0,1493400.0,597360.0,349235.0,0.0,43360.0,2909.0,22.0,1.366619,16.12603,56.07252,107.0927,95.75151,106.2657,106.9528
05-04-2026-00-05-28,62.3,30.0,1485926.0,594370.0,351695.0,0.0,44139.0,2994.0,22.0,1.359779,16.04531,56.27322,108.3178,96.66589,107.4865,108.1693
05-04-2026-00-05-29,62.3,30.0,1474306.0,589722.0,352818.0,0.0,44638.0,2961.0,22.0,1.349146,15.91984,56.27619,108.6629,97.12472,107.8261,108.5144
05-04-2026-00-05-30,62.3,30.0,1465788.0,586315.0,353070.0,0.0,44927.0,2868.0,21.0,1.341351,15.82787,56.21298,108.5112,97.3268,107.694,108.3713
05-04-2026-00-05-31,62.3,30.0,1468685.0,587474.0,353342.0,0.0,45194.0,2791.0,21.0,1.344002,15.85915,56.27543,108.5244,97.63336,107.7193,108.3846
05-04-2026-00-05-32,62.3,30.0,1471722.0,588688.0,353696.0,0.0,45307.0,2723.0,21.0,1.346781,15.89194,56.34873,108.4391,97.81031,107.6516,108.3081
05-04-2026-00-05-33,62.3,30.0,1474239.0,589695.0,354946.0,0.0,45286.0,2658.0,20.0,1.349085,15.91912,56.51889,108.3309,97.96059,107.5663,108.1999
05-04-2026-00-05-34,62.3,30.0,1474309.0,589723.0,355978.0,0.0,44778.0,2595.0,19.0,1.349149,15.91988,56.63764,107.7175,97.61472,106.9934,107.5866
05-04-2026-00-05-35,62.3,30.0,1474018.0,589607.0,356971.0,0.0,43463.0,2570.0,17.0,1.348883,15.91674,56.74813,106.4819,96.52155,105.8101,106.3596
05-04-2026-00-05-36,62.3,30.0,1473948.0,589579.0,358126.0,0.0,42201.0,2560.0,17.0,1.348818,15.91597,56.87945,105.4116,95.49816,104.7508,105.2893
05-04-2026-00-05-37,62.3,30.0,1473885.0,589554.0,359273.0,0.0,40932.0,2555.0,17.0,1.348761,15.9153,57.00993,104.3726,94.46744,103.7008,104.2502
05-04-2026-00-05-38,62.3,30.0,1473796.0,589518.0,360386.0,0.0,39689.0,2549.0,17.0,1.348679,15.91433,57.1363,103.342,93.45613,102.6702,103.2197
05-04-2026-00-05-39,62.3,30.0,1473786.0,589514.0,361482.0,0.0,38449.0,2536.0,17.0,1.34867,15.91422,57.26155,102.2769,92.4471,101.6128,102.1546
05-04-2026-00-05-40,62.3,30.0,1473778.0,589511.0,362509.0,0.0,37301.0,2516.0,17.0,1.348662,15.91414,57.37891,101.2565,91.51385,100.6065,101.1342
05-04-2026-00-05-41,62.3,30.0,1473728.0,589491.0,362539.0,0.0,36353.0,2505.0,17.0,1.348617,15.9136,57.38187,100.3778,90.64871,99.70389,100.2555
05-04-2026-00-05-42,62.4,30.0,1468906.0,587562.0,360724.0,0.0,35571.0,2461.0,18.0,1.344204,15.86153,57.12218,99.27169,89.67354,98.56932,99.14939
05-04-2026-00-05-43,62.4,30.0,1452857.0,581142.0,355502.0,0.0,35123.0,2377.0,18.0,1.329517,15.68823,56.35157,97.76385,88.49324,97.08325,97.65021
05-04-2026-00-05-44,62.4,30.0,1435766.0,574306.0,350069.0,0.0,34664.0,2305.0,16.0,1.313878,15.50368,55.54555,96.22043,87.26756,95.59991,96.1068
05-04-2026-00-05-45,62.4,30.0,1419582.0,567832.0,345041.0,0.0,34330.0,2267.0,16.0,1.299067,15.32892,54.79572,95.04021,86.21156,94.4066,94.92657
05-04-2026-00-05-46,62.4,30.0,1412334.0,564933.0,343567.0,0.0,34724.0,2298.0,19.0,1.292435,15.25066,54.54889,95.35941,86.32519,94.63074,95.24577
05-04-2026-00-05-47,62.4,30.0,1411979.0,564791.0,344261.0,0.0,35263.0,2335.0,21.0,1.29211,15.24682,54.6244,96.10455,86.89463,95.33329,95.99091
05-04-2026-00-05-48,62.4,30.0,1415086.0,566034.0,345189.0,0.0,35807.0,2375.0,20.0,1.294953,15.28037,54.76411,96.85898,87.53153,96.11504,96.74535
05-04-2026-00-05-49,62.4,30.0,1420425.0,568170.0,346108.0,0.0,36412.0,2435.0,20.0,1.299839,15.33803,54.92682,97.81612,88.24841,97.04823,97.69381
05-04-2026-00-05-50,62.3,30.0,1428645.0,571458.0,348199.0,0.0,37272.0,2514.0,22.0,1.307361,15.42678,55.25476,99.26073,89.36282,98.44913,99.13842
05-04-2026-00-05-51,62.3,30.0,1445328.0,578131.0,353150.0,0.0,38517.0,2649.0,25.0,1.322628,15.60693,56.00122,101.7506,91.24865,100.8222,101.6197
05-04-2026-00-05-52,62.4,30.0,1462684.0,585073.0,358287.0,0.0,39727.0,2840.0,47.0,1.33851,15.79434,56.77618,105.0051,93.13076,103.396,104.8565
05-04-2026-00-05-53,62.4,30.0,1478973.0,591589.0,363038.0,0.0,40770.0,3054.0,104.0,1.353417,15.97024,57.49556,109.242,94.80473,105.8437,109.0762
05-04-2026-00-05-54,62.4,30.0,1486744.0,594697.0,364489.0,0.0,41175.0,3248.0,129.0,1.360528,16.05416,57.74549,111.3681,95.42585,107.1667,111.1846
05-04-2026-00-05-55,62.4,30.0,1493439.0,597375.0,366032.0,0.0,41850.0,3474.0,103.0,1.366655,16.12644,57.99421,112.2462,96.2914,108.8479,112.0541
05-04-2026-00-05-56,62.3,30.0,1501225.0,600490.0,368807.0,0.0,42604.0,3587.0,50.0,1.373779,16.21052,58.39565,112.1025,97.38332,110.3482,111.919
05-04-2026-00-05-57,62.3,30.0,1507110.0,602844.0,371612.0,0.0,43169.0,3633.0,31.0,1.379164,16.27406,58.78012,112.5872,98.28509,111.414,112.4038
05-04-2026-00-05-58,62.3,30.0,1506763.0,602705.0,371797.0,0.0,43202.0,3610.0,26.0,1.378847,16.27032,58.79746,112.3998,98.33267,111.3817,112.2163
05-04-2026-00-05-59,62.3,30.0,1506079.0,602431.0,371411.0,0.0,43123.0,3553.0,22.0,1.378221,16.26293,58.74594,111.9334,98.20831,111.0486,111.7587
05-04-2026-00-06-00,62.4,30.0,1505813.0,602325.0,371078.0,0.0,43206.0,3443.0,21.0,1.377978,16.26006,58.70496,111.5282,98.24347,110.6861,111.3623
05-04-2026-00-06-01,62.4,30.0,1510665.0,604266.0,372641.0,0.0,44282.0,3370.0,23.0,1.382418,16.31245,58.93623,112.5449,99.45917,111.6406,112.379
05-04-2026-00-06-02,62.3,30.0,1530193.0,612077.0,379392.0,0.0,45915.0,3309.0,25.0,1.400288,16.52332,59.9192,114.8642,101.9368,113.8965,114.6983
05-04-2026-00-06-03,62.3,30.0,1550669.0,620267.0,384381.0,0.0,46910.0,3177.0,24.0,1.419026,16.74443,60.71107,116.0391,103.6389,115.1227,115.8819
05-04-2026-00-06-04,62.4,30.0,1565335.0,626134.0,387099.0,0.0,46530.0,3019.0,20.0,1.432447,16.90279,61.18022,115.4544,103.7605,114.6722,115.3058
05-04-2026-00-06-05,62.4,30.0,1550540.0,620216.0,383233.0,0.0,45784.0,2861.0,16.0,1.418908,16.74303,60.57837,113.4809,102.4758,112.8155,113.341
05-04-2026-00-06-06,62.4,30.0,1537363.0,614945.0,380021.0,0.0,45574.0,2781.0,16.0,1.40685,16.60075,60.06862,112.4762,101.7745,111.8251,112.3363
05-04-2026-00-06-07,62.4,30.0,1531899.0,612759.0,377943.0,0.0,45624.0,2758.0,18.0,1.401849,16.54174,59.77188,112.2008,101.5233,111.4907,112.0609
05-04-2026-00-06-08,62.4,30.0,1526097.0,610439.0,375845.0,0.0,45689.0,2734.0,20.0,1.39654,16.47909,59.46928,111.916,101.2797,111.1624,111.785
05-04-2026-00-06-09,62.4,30.0,1515309.0,606123.0,371867.0,0.0,44821.0,2613.0,20.0,1.386668,16.36261,58.89779,110.1129,99.91452,109.3593,109.982
05-04-2026-00-06-10,62.4,30.0,1481756.0,592702.0,362458.0,0.0,42776.0,2380.0,18.0,1.355963,16.00028,57.45923,105.8863,96.60393,105.2057,105.7726
05-04-2026-00-06-11,62.4,30.0,1442542.0,577016.0,349657.0,0.0,40743.0,2193.0,17.0,1.320078,15.57684,55.57159,101.4127,92.85584,100.7815,101.308
05-04-2026-00-06-12,62.4,30.0,1410595.0,564238.0,329938.0,0.0,40611.0,2253.0,19.0,1.290843,15.23188,52.97113,99.00552,90.13449,98.27798,98.89188
05-04-2026-00-06-13,62.4,30.0,1397911.0,559164.0,316134.0,0.0,40914.0,2355.0,21.0,1.279237,15.09492,51.25521,97.99059,88.69624,97.2084,97.87695
05-04-2026-00-06-14,62.4,30.0,1392500.0,557000.0,304777.0,0.0,40266.0,2437.0,20.0,1.274284,15.03648,49.8977,96.2961,86.74611,95.55332,96.17379
05-04-2026-00-06-15,62.4,30.0,1385493.0,554197.0,292725.0,0.0,39206.0,2459.0,18.0,1.267872,14.96082,48.44352,93.9088,84.3219,93.20863,93.7865
05-04-2026-00-06-16,62.3,30.0,1374549.0,549819.0,279183.0,0.0,37739.0,2429.0,17.0,1.257858,14.84265,46.77635,90.75252,81.31176,90.08949,90.63021
05-04-2026-00-06-17,62.3,30.0,1363573.0,545429.0,265625.0,0.0,36193.0,2393.0,16.0,1.247813,14.72412,45.10709,87.49162,78.2276,86.87657,87.37798
05-04-2026-00-06-18,62.3,30.0,1360893.0,544357.0,252299.0,0.0,35276.0,2425.0,16.0,1.245361,14.69518,43.55386,85.22062,75.83534,84.60019,85.09831
05-04-2026-00-06-19,62.3,30.0,1362476.0,544990.0,241976.0,0.0,34651.0,2454.0,16.0,1.246809,14.71228,42.39016,83.59153,74.10001,82.97002,83.46922
05-04-2026-00-06-20,62.4,30.0,1359708.0,543883.0,239432.0,0.0,33410.0,2368.0,15.0,1.244276,14.68239,42.06927,81.78417,72.64365,81.20189,81.67053
05-04-2026-00-06-21,62.4,30.0,1356690.0,542676.0,237600.0,0.0,32145.0,2271.0,14.0,1.241514,14.6498,41.82721,80.00891,71.24385,79.45177,79.89527
05-04-2026-00-06-22,62.3,30.0,1353684.0,541473.0,235786.0,0.0,31805.0,2183.0,14.0,1.238764,14.61735,41.58729,79.1233,70.69242,78.58272,79.01857
05-04-2026-00-06-23,62.3,30.0,1352790.0,541116.0,234701.0,0.0,31815.0,2115.0,14.0,1.237945,14.60769,41.4535,78.75264,70.56823,78.21426,78.64792
05-04-2026-00-06-24,62.3,30.0,1357782.0,543113.0,235624.0,0.0,32166.0,2091.0,15.0,1.242514,14.66159,41.61298,79.17917,71.04826,78.60471,79.07444
05-04-2026-00-06-25,62.3,30.0,1370038.0,548015.0,238966.0,0.0,32945.0,2113.0,17.0,1.253729,14.79393,42.12762,80.56937,72.27603,79.91518,80.46465
05-04-2026-00-06-26,62.4,30.0,1382463.0,552985.0,247175.0,0.0,33711.0,2265.0,19.0,1.2651,14.9281,43.20074,82.95567,74.04991,82.23794,82.84204
05-04-2026-00-06-27,62.4,30.0,1394395.0,557758.0,257003.0,0.0,34374.0,2628.0,20.0,1.276019,15.05695,44.45372,86.15759,75.91039,85.40724,86.02663
05-04-2026-00-06-28,62.3,30.0,1403109.0,561243.0,265536.0,0.0,34745.0,2877.0,18.0,1.283993,15.15104,45.52384,88.44703,77.31956,87.71944,88.30714
05-04-2026-00-06-29,62.3,30.0,1409898.0,563959.0,273706.0,0.0,35088.0,2974.0,17.0,1.290205,15.22435,46.53158,90.07667,78.64152,89.39068,89.92812
05-04-2026-00-06-30,62.4,30.0,1424537.0,569814.0,281821.0,0.0,35348.0,3023.0,15.0,1.303601,15.38242,47.6179,91.51687,79.96517,90.89095,91.36832
05-04-2026-00-06-31,62.4,30.0,1443158.0,577263.0,289514.0,0.0,35502.0,3051.0,13.0,1.320642,15.5835,48.69889,92.7701,81.18742,92.21517,92.62155
05-04-2026-00-06-32,62.4,30.0,1457297.0,582918.0,295912.0,0.0,35406.0,3049.0,11.0,1.33358,15.73617,49.58342,93.50829,81.98408,93.00583,93.35974
05-04-2026-00-06-33,62.4,30.0,1464151.0,585660.0,299892.0,0.0,34855.0,3006.0,10.0,1.339853,15.81019,50.11274,93.34138,82.00874,92.87276,93.19283
05-04-2026-00-06-34,62.4,30.0,1470158.0,588063.0,298808.0,0.0,34186.0,2822.0,10.0,1.34535,15.87505,50.05362,91.99889,81.33765,91.53678,91.85902
05-04-2026-00-06-35,62.4,30.0,1476689.0,590676.0,296116.0,0.0,33632.0,2430.0,12.0,1.351327,15.94558,49.81623,89.88032,80.59363,89.37788,89.75802
05-04-2026-00-06-36,62.4,30.0,1495795.0,598318.0,297837.0,0.0,34032.0,2215.0,15.0,1.36881,16.15188,50.21938,89.94235,81.3624,89.37009,89.83763
05-04-2026-00-06-37,62.4,30.0,1525749.0,610299.0,302574.0,0.0,34889.0,2191.0,16.0,1.396222,16.47533,51.08463,91.53492,83.01179,90.93207,91.43019
05-04-2026-00-06-38,62.4,30.0,1555207.0,622082.0,307372.0,0.0,35665.0,2199.0,15.0,1.423178,16.79342,51.95153,93.11121,84.58911,92.53568,93.00649
05-04-2026-00-06-39,62.4,30.0,1582752.0,633101.0,311835.0,0.0,35553.0,2133.0,12.0,1.448386,17.09087,52.75945,93.50339,85.29442,93.00323,93.39866
05-04-2026-00-06-40,62.4,30.0,1613955.0,645582.0,316865.0,0.0,35721.0,2108.0,12.0,1.476939,17.4278,53.67176,94.45782,86.36085,93.98059,94.35309
05-04-2026-00-06-41,62.4,30.0,1645313.0,658125.0,321915.0,0.0,36719.0,2168.0,16.0,1.505635,17.76641,54.58796,96.63721,88.19015,96.02671,96.53248
05-04-2026-00-06-42,62.4,30.0,1673050.0,669220.0,326236.0,0.0,37817.0,2243.0,19.0,1.531018,18.06592,55.38173,98.81687,89.9883,98.09477,98.70324
05-04-2026-00-06-43,62.4,30.0,1675223.0,670089.0,326016.0,0.0,38115.0,2241.0,19.0,1.533006,18.08938,55.38005,99.06905,90.25944,98.35786,98.95541
05-04-2026-00-06-44,62.4,30.0,1650959.0,660383.0,321333.0,0.0,37725.0,2184.0,18.0,1.510801,17.82737,54.58236,97.67748,89.10474,96.99924,97.57275
05-04-2026-00-06-45,62.4,30.0,1609581.0,643832.0,314021.0,0.0,37845.0,2206.0,21.0,1.472937,17.38057,53.29923,96.67648,87.93204,95.9054,96.57175
