datetime,humidity,temperature,PC0_1,PC0_3,PC0_5,PC10,PC1_0,PC2_5,PC5_0,PM0_1,PM0_3,PM0_5,PM10,PM1_0,PM2_5,PM5_0
05-04-2026-00-14-11,63.6,29.5,1228190.0,433961.0,306291.0,0.0,20994.0,995.0,4.0,1.026227,10.8164,42.80553,73.80358,60.34768,73.34642,73.80358
05-04-2026-00-14-12,63.6,29.5,1230541.0,432738.0,301502.0,0.0,20862.0,975.0,6.0,1.028191,10.79078,42.27974,73.1265,59.71183,72.45552,73.1265
05-04-2026-00-14-13,63.6,29.5,1229146.0,429430.0,293798.0,0.0,20306.0,924.0,8.0,1.027025,10.71498,41.39933,71.29678,58.36702,70.44518,71.29678
05-04-2026-00-14-14,63.7,29.5,1224982.0,425881.0,287336.0,0.0,19997.0,898.0,11.0,1.023547,10.63142,40.64086,70.31844,57.34975,69.08339,70.31844
05-04-2026-00-14-15,63.7,29.5,1221179.0,422799.0,281095.0,0.0,19676.0,861.0,14.0,1.020369,10.55872,39.91638,69.15057,56.3569,67.61318,69.15057
05-04-2026-00-14-16,63.6,29.5,1219324.0,423171.0,276182.0,0.0,19430.0,832.0,15.0,1.018819,10.56556,39.41004,68.16225,55.64542,66.51429,68.16225
05-04-2026-00-14-17,63.6,29.5,1222615.0,425944.0,273809.0,0.0,19523.0,828.0,14.0,1.021569,10.63087,39.22751,67.82172,55.54093,66.35814,67.82172
05-04-2026-00-14-18,63.6,29.5,1220873.0,425232.0,272210.0,0.0,19685.0,838.0,12.0,1.020113,10.61336,39.04298,67.76132,55.49146,66.4415,67.76132
05-04-2026-00-14-19,63.6,29.5,1213648.0,422114.0,268788.0,0.0,19806.0,858.0,11.0,1.014076,10.53698,38.6093,67.56359,55.15849,66.3728,67.56359
05-04-2026-00-14-20,63.6,29.5,1205840.0,419064.0,264910.0,0.0,19857.0,876.0,8.0,1.007552,10.46165,38.1289,67.00523,54.72067,66.16836,67.00523
05-04-2026-00-14-21,63.6,29.5,1202837.0,418119.0,268399.0,0.0,19835.0,885.0,5.0,1.005043,10.43782,38.46952,67.16072,55.0434,66.61147,67.16072
05-04-2026-00-14-22,63.7,29.5,1195158.0,416783.0,275750.0,0.0,19088.0,853.0,3.0,0.998627,10.40126,39.20064,66.67289,55.15036,66.29319,66.67289
05-04-2026-00-14-23,63.7,29.5,1187877.0,415308.0,288037.0,0.0,19303.0,917.0,7.0,0.992543,10.3619,40.44451,69.31425,56.57393,68.55109,69.31425
05-04-2026-00-14-24,63.7,29.5,1181955.0,413949.0,300620.0,0.0,20015.0,1015.0,11.0,0.987595,10.3263,41.72308,72.89091,58.44722,71.70377,72.89091
